co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.1,pmx_co,True,700,0.3,rank,13543,100
0.1,pmx_co,True,700,0.5,tournament,13543,100
0.1,pmx_co,True,700,0.5,rank,13543,100
0.1,pmx_co,True,700,0.7,tournament,13543,100
0.1,pmx_co,True,700,0.7,rank,13543,100
0.1,pmx_co,True,700,0.9,tournament,13543,100
0.1,pmx_co,True,700,0.9,rank,13543,100
0.1,pmx_co,True,1000,0.1,tournament,13543,100
0.1,pmx_co,True,1000,0.1,rank,11025,100
0.1,pmx_co,True,1000,0.3,tournament,11025,100
0.1,pmx_co,True,1000,0.3,rank,11025,100
0.1,pmx_co,True,1000,0.5,tournament,11025,100
0.1,pmx_co,True,1000,0.5,rank,11025,100
0.1,pmx_co,True,1000,0.7,tournament,11025,100
0.1,pmx_co,True,1000,0.7,rank,11025,100
0.1,pmx_co,True,1000,0.9,tournament,11025,100
0.1,pmx_co,True,1000,0.9,rank,11025,100
0.1,pmx_co,False,100,0.1,tournament,26539,100
0.1,pmx_co,False,100,0.1,rank,22441,100
0.1,pmx_co,False,100,0.3,tournament,23310,100
0.1,pmx_co,False,100,0.3,rank,24132,100
0.1,pmx_co,False,100,0.5,tournament,26207,100
0.1,pmx_co,False,100,0.5,rank,24959,100
0.1,pmx_co,False,100,0.7,tournament,26133,100
0.1,pmx_co,False,100,0.7,rank,25638,100
0.1,pmx_co,False,100,0.9,tournament,23894,100
0.1,pmx_co,False,100,0.9,rank,24148,100
0.1,pmx_co,False,400,0.1,tournament,22758,100
0.1,pmx_co,False,400,0.1,rank,18036,100
0.1,pmx_co,False,400,0.3,tournament,23021,100
0.1,pmx_co,False,400,0.3,rank,23602,100
0.1,pmx_co,False,400,0.5,tournament,25034,100
0.1,pmx_co,False,400,0.5,rank,24663,100
0.1,pmx_co,False,400,0.7,tournament,25306,100
0.1,pmx_co,False,400,0.7,rank,25542,100
0.1,pmx_co,False,400,0.9,tournament,27450,100
0.1,pmx_co,False,400,0.9,rank,26165,100
0.1,pmx_co,False,700,0.1,tournament,25149,100
0.1,pmx_co,False,700,0.1,rank,17221,100
0.1,pmx_co,False,700,0.3,tournament,25853,100
0.1,pmx_co,False,700,0.3,rank,23894,100
0.1,pmx_co,False,700,0.5,tournament,26529,100
0.1,pmx_co,False,700,0.5,rank,25106,100
0.1,pmx_co,False,700,0.7,tournament,26884,100
0.1,pmx_co,False,700,0.7,rank,26371,100
0.1,pmx_co,False,700,0.9,tournament,27319,100
0.1,pmx_co,False,700,0.9,rank,25057,100
0.1,pmx_co,False,1000,0.1,tournament,23057,100
0.1,pmx_co,False,1000,0.1,rank,15848,100
0.1,pmx_co,False,1000,0.3,tournament,24573,100
0.1,pmx_co,False,1000,0.3,rank,23483,100
0.1,pmx_co,False,1000,0.5,tournament,24884,100
0.1,pmx_co,False,1000,0.5,rank,25620,100
0.1,pmx_co,False,1000,0.7,tournament,26774,100
0.1,pmx_co,False,1000,0.7,rank,25154,100
0.1,pmx_co,False,1000,0.9,tournament,25845,100
0.1,pmx_co,False,1000,0.9,rank,23776,100
0.3,cycle_co,True,100,0.1,tournament,15865,100
0.3,cycle_co,True,100,0.1,rank,13297,100
0.3,cycle_co,True,100,0.3,tournament,13156,100
0.3,cycle_co,True,100,0.3,rank,13156,100
0.3,cycle_co,True,100,0.5,tournament,13156,100
0.3,cycle_co,True,100,0.5,rank,13156,100
0.3,cycle_co,True,100,0.7,tournament,13156,100
0.3,cycle_co,True,100,0.7,rank,13156,100
0.3,cycle_co,True,100,0.9,tournament,13156,100
0.3,cycle_co,True,100,0.9,rank,13156,100
0.3,cycle_co,True,400,0.1,tournament,11442,100
0.3,cycle_co,True,400,0.1,rank,11083,100
0.3,cycle_co,True,400,0.3,tournament,11083,100
0.3,cycle_co,True,400,0.3,rank,11083,100
0.3,cycle_co,True,400,0.5,tournament,11083,100
0.3,cycle_co,True,400,0.5,rank,11083,100
0.3,cycle_co,True,400,0.7,tournament,11083,100
0.3,cycle_co,True,400,0.7,rank,11083,100
0.3,cycle_co,True,400,0.9,tournament,11083,100
0.3,cycle_co,True,400,0.9,rank,11083,100
0.3,cycle_co,True,700,0.1,tournament,9922,100
0.3,cycle_co,True,700,0.1,rank,9922,100
0.3,cycle_co,True,700,0.3,tournament,9922,100
0.3,cycle_co,True,700,0.3,rank,9922,100
0.3,cycle_co,True,700,0.5,tournament,9922,100
0.3,cycle_co,True,700,0.5,rank,9922,100
0.3,cycle_co,True,700,0.7,tournament,9922,100
0.3,cycle_co,True,700,0.7,rank,9922,100
0.3,cycle_co,True,700,0.9,tournament,9922,100
0.3,cycle_co,True,700,0.9,rank,9922,100
0.3,cycle_co,True,1000,0.1,tournament,9922,100
0.3,cycle_co,True,1000,0.1,rank,9535,100
0.3,cycle_co,True,1000,0.3,tournament,9535,100
0.3,cycle_co,True,1000,0.3,rank,9535,100
0.3,cycle_co,True,1000,0.5,tournament,9535,100
0.3,cycle_co,True,1000,0.5,rank,9535,100
0.3,cycle_co,True,1000,0.7,tournament,9535,100
0.3,cycle_co,True,1000,0.7,rank,9535,100
0.3,cycle_co,True,1000,0.9,tournament,9535,100
0.3,cycle_co,True,1000,0.9,rank,9535,100
0.3,cycle_co,False,100,0.1,tournament,11270,100
0.3,cycle_co,False,100,0.1,rank,9926,100
0.3,cycle_co,False,100,0.3,tournament,17969,100
0.3,cycle_co,False,100,0.3,rank,15016,100
0.3,cycle_co,False,100,0.5,tournament,23427,100
0.3,cycle_co,False,100,0.5,rank,19278,100
0.3,cycle_co,False,100,0.7,tournament,23670,100
0.3,cycle_co,False,100,0.7,rank,22938,100
0.3,cycle_co,False,100,0.9,tournament,24032,100
0.3,cycle_co,False,100,0.9,rank,23375,100
0.3,cycle_co,False,400,0.1,tournament,12426,100
0.3,cycle_co,False,400,0.1,rank,10907,100
0.3,cycle_co,False,400,0.3,tournament,17870,100
0.3,cycle_co,False,400,0.3,rank,12886,100
0.3,cycle_co,False,400,0.5,tournament,20704,100
0.3,cycle_co,False,400,0.5,rank,18401,100
0.3,cycle_co,False,400,0.7,tournament,23540,100
0.3,cycle_co,False,400,0.7,rank,21020,100
0.3,cycle_co,False,400,0.9,tournament,23551,100
0.3,cycle_co,False,400,0.9,rank,23353,100
0.3,cycle_co,False,700,0.1,tournament,10862,100
0.3,cycle_co,False,700,0.1,rank,10556,100
0.3,cycle_co,False,700,0.3,tournament,18432,100
0.3,cycle_co,False,700,0.3,rank,12644,100
0.3,cycle_co,False,700,0.5,tournament,20429,100
0.3,cycle_co,False,700,0.5,rank,19382,100
0.3,cycle_co,False,700,0.7,tournament,21236,100
0.3,cycle_co,False,700,0.7,rank,23237,100
0.3,cycle_co,False,700,0.9,tournament,24109,100
0.3,cycle_co,False,700,0.9,rank,22047,100
0.3,cycle_co,False,1000,0.1,tournament,9778,100
0.3,cycle_co,False,1000,0.1,rank,9770,100
0.3,cycle_co,False,1000,0.3,tournament,23800,100
0.3,cycle_co,False,1000,0.3,rank,14535,100
0.3,cycle_co,False,1000,0.5,tournament,21062,100
0.3,cycle_co,False,1000,0.5,rank,19724,100
0.3,cycle_co,False,1000,0.7,tournament,21834,100
0.3,cycle_co,False,1000,0.7,rank,21348,100
0.3,cycle_co,False,1000,0.9,tournament,22890,100
0.3,cycle_co,False,1000,0.9,rank,21258,100
0.3,pmx_co,True,100,0.1,tournament,15209,100
0.3,pmx_co,True,100,0.1,rank,13855,100
0.3,pmx_co,True,100,0.3,tournament,13217,100
0.3,pmx_co,True,100,0.3,rank,13217,100
0.3,pmx_co,True,100,0.5,tournament,13217,100
0.3,pmx_co,True,100,0.5,rank,13217,100
0.3,pmx_co,True,100,0.7,tournament,13217,100
0.3,pmx_co,True,100,0.7,rank,13217,100
0.3,pmx_co,True,100,0.9,tournament,13217,100
0.3,pmx_co,True,100,0.9,rank,13217,100
0.3,pmx_co,True,400,0.1,tournament,10760,100
0.3,pmx_co,True,400,0.1,rank,10654,100
0.3,pmx_co,True,400,0.3,tournament,10654,100
0.3,pmx_co,True,400,0.3,rank,10654,100
0.3,pmx_co,True,400,0.5,tournament,10654,100
0.3,pmx_co,True,400,0.5,rank,10654,100
0.3,pmx_co,True,400,0.7,tournament,10654,100
0.3,pmx_co,True,400,0.7,rank,10654,100
0.3,pmx_co,True,400,0.9,tournament,10654,100
0.3,pmx_co,True,400,0.9,rank,10654,100
0.3,pmx_co,True,700,0.1,tournament,10654,100
0.3,pmx_co,True,700,0.1,rank,10654,100
0.3,pmx_co,True,700,0.3,tournament,10654,100
0.3,pmx_co,True,700,0.3,rank,10654,100
0.3,pmx_co,True,700,0.5,tournament,10654,100
0.3,pmx_co,True,700,0.5,rank,10654,100
0.3,pmx_co,True,700,0.7,tournament,10654,100
0.3,pmx_co,True,700,0.7,rank,10654,100
0.3,pmx_co,True,700,0.9,tournament,10654,100
0.3,pmx_co,True,700,0.9,rank,10654,100
0.3,pmx_co,True,1000,0.1,tournament,10654,100
0.3,pmx_co,True,1000,0.1,rank,10654,100
0.3,pmx_co,True,1000,0.3,tournament,10654,100
0.3,pmx_co,True,1000,0.3,rank,10654,100
0.3,pmx_co,True,1000,0.5,tournament,10654,100
0.3,pmx_co,True,1000,0.5,rank,10654,100
0.3,pmx_co,True,1000,0.7,tournament,10654,100
0.3,pmx_co,True,1000,0.7,rank,10654,100
0.3,pmx_co,True,1000,0.9,tournament,10654,100
0.3,pmx_co,True,1000,0.9,rank,10654,100
0.3,pmx_co,False,100,0.1,tournament,12740,100
0.3,pmx_co,False,100,0.1,rank,12133,100
0.3,pmx_co,False,100,0.3,tournament,14423,100
0.3,pmx_co,False,100,0.3,rank,15512,100
0.3,pmx_co,False,100,0.5,tournament,20908,100
0.3,pmx_co,False,100,0.5,rank,22168,100
